"(5.35, 6.1)","(5.77, 5.83)",3,7,12870,6521,61633,6349,10,10,3,3
"(5.77, 5.83)","(5.35, 6.1)",21,27,5685,6003045,100980,5351,10,10,7,4
"(5.35, 6.1)","(5.77, 5.83)",11,50,6153,8002710,89887,3559,10,10,3,4
"(5.35, 6.26)","(5.77, 5.83)",30,35,14065,50000000,0,0,10,10,5,2
"(5.77, 5.83)","(5.35, 6.1)",25,34,13536,50000000,0,0,10,10,7,2
"(5.77, 5.83)","(5.35, 6.1)",48,36,5326,141,82580,5185,10,10,7,5
"(5.35, 6.26)","(5.56, 5.89)",40,19,13472,50000000,0,0,10,10,4,2
"(5.35, 6.1)","(5.77, 5.83)",7,23,14070,5007473,61633,6597,10,10,3,3
"(5.77, 5.83)","(5.35, 6.1)",10,40,12996,50000000,0,0,10,10,7,2
"(5.77, 5.83)","(5.35, 6.1)",2,13,10896,50000000,0,0,10,10,7,2
"(5.56, 5.89)","(5.35, 6.1)",22,47,6713,2294,85966,4419,10,10,6,4
"(5.35, 6.1)","(5.77, 5.83)",23,6,6461,50000000,0,0,10,10,3,5
"(5.35, 6.26)","(5.77, 5.83)",19,34,15619,5007473,61631,8146,10,10,5,3
"(5.35, 6.1)","(5.77, 5.83)",42,38,5321,562,81152,4759,10,10,3,5
"(5.56, 5.89)","(5.35, 6.26)",5,44,5597,50000000,0,0,10,10,8,4
"(5.56, 5.89)","(5.35, 6.1)",45,48,8153,3734,85966,4419,10,10,6,4
"(5.56, 5.89)","(5.35, 6.26)",41,38,16946,5007473,62323,9473,10,10,8,3
"(5.35, 6.1)","(5.56, 5.89)",15,24,14378,5007473,62536,6905,10,10,2,3
"(5.35, 6.26)","(5.77, 5.83)",31,12,15019,5007473,61995,7546,10,10,5,3
"(5.35, 6.1)","(5.77, 5.83)",33,33,5321,562,81152,4759,10,10,3,5
"(5.56, 5.89)","(5.35, 6.1)",26,28,5813,50000000,0,0,10,10,6,4
"(5.35, 6.26)","(5.77, 5.83)",29,4,12145,50000000,0,0,10,10,5,2
"(5.35, 6.26)","(5.56, 5.89)",35,16,5437,50000000,0,0,10,10,4,4
"(5.35, 6.1)","(5.56, 5.89)",14,37,15098,5007473,62319,7625,10,10,2,3
"(5.35, 6.26)","(5.77, 5.83)",44,5,5434,7002970,98505,4643,10,10,5,4
"(5.35, 6.26)","(5.77, 5.83)",13,20,4474,8002749,91197,3607,10,10,5,4
"(5.77, 5.83)","(5.35, 6.26)",19,14,4870,8002676,88795,3726,10,10,9,4
"(5.35, 6.1)","(5.77, 5.83)",29,25,5321,562,81152,4759,10,10,3,5
"(5.77, 5.83)","(5.35, 6.26)",43,31,5496,144,86429,5352,10,10,9,5
"(5.35, 6.1)","(5.77, 5.83)",47,31,7173,6003109,103071,4854,10,10,3,4
"(5.35, 6.26)","(5.56, 5.89)",14,11,3877,8002752,91300,3612,10,10,4,4
"(5.56, 5.89)","(5.35, 6.1)",37,14,5633,50000000,0,0,10,10,6,4
"(5.77, 5.83)","(5.35, 6.26)",8,30,14719,5007473,61972,7246,10,10,9,3
"(5.35, 6.26)","(5.77, 5.83)",24,15,14779,5007473,61995,7306,10,10,5,3
"(5.56, 5.89)","(5.35, 6.26)",38,32,6857,2438,85966,4419,10,10,8,4
"(5.56, 5.89)","(5.35, 6.26)",17,10,5494,1719,82852,3775,10,10,8,5
"(5.35, 6.26)","(5.56, 5.89)",9,25,11972,50000000,0,0,10,10,4,2
"(5.56, 5.89)","(5.35, 6.26)",39,8,15026,5007473,62323,7553,10,10,8,3
"(5.56, 5.89)","(5.35, 6.1)",20,4,13478,7473,62322,6005,10,10,6,3
"(5.35, 6.1)","(5.56, 5.89)",10,7,10784,50000000,0,0,10,10,2,2
"(5.77, 5.83)","(5.35, 6.26)",26,22,5770,6003045,100981,5727,10,10,9,4
"(5.77, 5.83)","(5.35, 6.1)",37,17,15510,5007473,61632,8037,10,10,7,3
"(5.35, 6.26)","(5.56, 5.89)",16,21,4597,8002752,91300,3612,10,10,4,4
"(5.56, 5.89)","(5.35, 6.26)",17,39,6017,50000000,0,0,10,10,8,4
"(5.35, 6.26)","(5.77, 5.83)",34,16,15439,5007473,61995,7966,10,10,5,3
"(5.35, 6.26)","(5.77, 5.83)",23,21,15079,5007473,61995,7606,10,10,5,3
"(5.56, 5.89)","(5.35, 6.26)",49,46,5494,1719,82852,3775,10,10,8,5
"(5.35, 6.26)","(5.56, 5.89)",42,26,16286,5007473,61970,8813,10,10,4,3
"(5.56, 5.89)","(5.35, 6.1)",32,29,6233,1814,85966,4419,10,10,6,4
"(5.77, 5.83)","(5.35, 6.1)",4,2,3165,50000000,0,0,10,10,7,4
"(5.56, 5.89)","(5.35, 6.1)",7,9,3533,9002512,83371,3507,10,10,6,4
"(5.35, 6.1)","(5.56, 5.89)",36,42,16718,5007473,62536,9245,10,10,2,3
"(5.35, 6.26)","(5.56, 5.89)",50,10,13532,50000000,0,0,10,10,4,2
"(5.56, 5.89)","(5.35, 6.26)",45,46,17666,5007473,64331,10193,10,10,8,3
"(5.56, 5.89)","(5.35, 6.26)",35,49,5494,1719,82852,3775,10,10,8,5
"(5.56, 5.89)","(5.35, 6.1)",47,18,15938,5007473,62318,8465,10,10,6,3
"(5.56, 5.89)","(5.35, 6.1)",28,40,16118,5007473,62318,8645,10,10,6,3
"(5.35, 6.26)","(5.56, 5.89)",28,43,14192,50000000,0,0,10,10,4,2
"(5.77, 5.83)","(5.35, 6.1)",4,43,7546,50000000,0,0,10,10,7,5
