"[(4.92, 4.29), (8.29, 4.03)]",35,8,11879,5449,180223,8726,13,13,113,5,2
"[(5.04, 4.76), (8.91, 4.54)]",40,11,12750,5450,180214,8999,13,13,134,5,2
"[(5.04, 4.76), (8.29, 4.03)]",15,49,13529,5450,180214,8999,13,13,114,5,2
"[(4.92, 4.29), (7.06, 3.02)]",38,18,12655,5917,195684,9491,13,13,73,5,2
"[(4.92, 4.29), (8.29, 4.03)]",40,11,12359,5917,195684,9491,13,13,113,5,2
"[(5.04, 4.76), (8.91, 4.54)]",35,8,12270,5450,180214,8999,13,13,134,5,2
"[(4.8, 3.81), (7.06, 3.02)]",15,49,12729,15003336,110262,5576,13,13,72,5,2
"[(5.16, 5.24), (8.29, 4.03)]",38,18,13455,6691,221170,9937,13,13,115,5,2
"[(7.37, 3.27), (4.92, 4.29)]",2,37,11640,6669,220497,9902,13,13,13,5,2
"[(7.68, 3.53), (4.8, 3.81)]",46,12,12372,7329,242236,12130,13,13,22,5,2
"[(5.88, 8.09), (4.8, 3.81), (7.98, 3.78)]",7,10,14845,50000000,0,0,13,13,177,5,3
"[(5.52, 6.66), (5.04, 4.76), (7.68, 3.53)]",6,40,15327,16001451,47931,2375,13,13,93,5,3
"[(7.06, 3.02), (4.8, 3.81), (5.4, 6.19)]",25,44,17444,6844,226269,10864,13,13,22,5,3
"[(7.06, 3.02), (4.8, 3.81), (5.4, 6.19)]",25,44,17444,6844,226269,10864,13,13,22,5,3
"[(7.06, 3.02), (5.16, 5.24)]",9,5,10926,2004290,141882,6008,13,13,5,5,2
"[(4.92, 4.29), (8.29, 4.03)]",33,26,12839,15003229,106719,5700,13,13,113,5,2
"[(5.88, 8.09), (8.91, 4.54)]",16,41,15904,50000000,0,0,13,13,141,5,2
"[(7.06, 3.02), (5.28, 5.71)]",40,11,13536,16002787,92081,4562,13,13,6,5,2
"[(5.64, 7.14), (5.28, 5.71), (7.98, 3.78)]",11,35,16030,16001408,46522,2305,13,13,139,5,3
"[(5.64, 7.14), (4.8, 3.81), (8.6, 4.29)]",41,14,18369,16001408,46522,2305,13,13,245,5,3
"[(7.98, 3.78), (5.64, 7.14)]",50,34,16728,16001408,46522,2305,13,13,39,5,2
"[(4.92, 4.29), (7.06, 3.02)]",15,16,11155,15003229,106719,5700,13,13,73,5,2
"[(5.16, 5.24), (7.98, 3.78)]",38,18,13456,6691,221170,9937,13,13,105,5,2
"[(8.91, 4.54), (5.4, 6.19)]",29,30,14432,16002729,90153,4467,13,13,67,5,2
"[(5.64, 7.14), (4.92, 4.29), (7.37, 3.27)]",13,23,15554,16001408,46522,2305,13,13,82,5,3
"[(5.4, 6.19), (4.8, 3.81), (7.68, 3.53)]",49,46,20453,50000000,0,0,13,13,238,5,3
"[(5.64, 7.14), (7.37, 3.27)]",30,16,14448,16001408,46522,2305,13,13,89,5,2
"[(5.64, 7.14), (4.92, 4.29), (7.98, 3.78)]",5,35,15314,16001408,46522,2305,13,13,116,5,3
"[(5.04, 4.76), (8.29, 4.03)]",11,49,13289,5450,180214,8999,13,13,114,5,2
"[(5.64, 7.14), (5.04, 4.76), (8.29, 4.03)]",15,24,15849,16001408,46522,2305,13,13,11,5,3
"[(7.68, 3.53), (4.92, 4.29), (5.64, 7.14)]",33,48,19452,16001408,46522,2305,13,13,198,5,3
"[(7.37, 3.27), (5.64, 7.14)]",20,39,15228,16001408,46522,2305,13,13,19,5,2
"[(8.6, 4.29), (5.04, 4.76), (5.64, 7.14)]",37,31,18909,16001408,46522,1408,13,13,3,5,3
"[(7.37, 3.27), (5.52, 6.66)]",47,8,14582,16001451,47931,2375,13,13,18,5,2
"[(8.6, 4.29), (5.52, 6.66)]",28,30,14762,16001451,47931,1451,13,13,58,5,2
"[(5.52, 6.66), (7.37, 3.27)]",15,3,12362,16001451,47931,2375,13,13,88,5,2
"[(5.64, 7.14), (7.37, 3.27)]",29,34,15468,16001408,46522,2305,13,13,89,5,2
"[(5.64, 7.14), (4.92, 4.29), (7.98, 3.78)]",6,17,14354,16001408,46522,2305,13,13,116,5,3
"[(8.29, 4.03), (5.16, 5.24), (5.4, 6.19)]",7,37,14876,6844,226269,10625,13,13,181,5,3
"[(7.68, 3.53), (4.8, 3.81)]",33,10,11472,15004628,152951,8481,13,13,22,5,2
"[(5.88, 8.09), (4.8, 3.81), (8.6, 4.29)]",12,28,16525,50000000,0,0,13,13,88,5,3
"[(5.64, 7.14), (7.37, 3.27)]",6,42,14568,16001408,46522,2305,13,13,89,5,2
"[(7.06, 3.02), (4.8, 3.81)]",8,42,11884,4889,161778,8474,13,13,2,5,2
"[(7.68, 3.53), (4.8, 3.81)]",27,41,12972,6490,214562,10990,13,13,22,5,2
"[(7.06, 3.02), (5.28, 5.71)]",50,26,15036,16002787,92081,4562,13,13,6,5,2
"[(5.52, 6.66), (8.6, 4.29)]",21,28,14222,16001451,47931,2375,13,13,128,5,2
"[(7.98, 3.78), (5.4, 6.19)]",9,26,12992,16002729,90153,4467,13,13,37,5,2
"[(7.06, 3.02), (5.88, 8.09)]",28,22,15474,50000000,0,0,13,13,11,5,2
"[(8.91, 4.54), (4.92, 4.29), (5.64, 7.14)]",13,39,16514,16001408,46522,2305,13,13,210,5,3
"[(7.68, 3.53), (4.92, 4.29), (5.64, 7.14)]",36,23,18312,16001408,46522,2305,13,13,198,5,3
"[(4.92, 4.29), (8.29, 4.03)]",45,11,12659,5917,195684,9491,13,13,113,5,2
"[(7.68, 3.53), (4.8, 3.81)]",35,8,11472,16003965,130990,6490,13,13,22,5,2
"[(7.37, 3.27), (4.92, 4.29)]",14,4,10380,50000000,0,0,13,13,13,5,2
"[(5.76, 7.62), (7.37, 3.27)]",3,12,12986,50000000,0,0,13,13,90,5,2
"[(7.06, 3.02), (5.28, 5.71)]",49,46,16176,16002787,92081,4562,13,13,6,5,2
"[(7.37, 3.27), (4.8, 3.81), (5.64, 7.14)]",49,26,20050,16001408,46522,2305,13,13,110,5,3
"[(5.88, 8.09), (5.04, 4.76), (8.91, 4.54)]",24,27,17906,50000000,0,0,13,13,19,5,3
"[(5.64, 7.14), (7.98, 3.78)]",24,15,14028,16001408,46522,2305,13,13,109,5,2
"[(8.6, 4.29), (5.4, 6.19)]",40,25,14792,16002700,89200,4420,13,13,57,5,2
"[(5.4, 6.19), (5.28, 5.71), (8.29, 4.03)]",5,48,15293,15004519,149300,6723,13,13,123,5,3
