8	3	3	7	0
10	3	4	3	1
9	2	6	4	1
18	3	6	5	0
8	3	3	7	0
10	3	4	3	1
10	3	6	4	1
17	2	6	5	0
5	4	4	3	0
4	2	3	5	0
7	5	6	7	0
6	4	2	3	0
26	4	4	6	0
26	3	5	2	0
25	2	6	4	0
11	5	7	4	0
24	3	6	5	0
10	3	3	7	1
25	3	4	6	0
15	5	3	4	0
17	3	4	2	0
16	3	5	3	0
25	2	6	4	0
26	3	3	5	0
26	4	2	4	0
26	3	7	5	0
26	4	3	7	0
26	5	5	7	0
26	5	7	3	0
26	2	4	3	0
26	4	6	6	0
2	4	4	6	0
2	3	4	3	0
26	3	5	3	0
17	2	6	2	0
26	3	4	5	0
8	3	3	7	1
10	3	6	4	1
9	2	6	4	1
8	3	3	7	1
10	3	6	4	1
9	3	6	4	1
18	2	6	5	0
4	4	3	3	0
5	2	4	5	0
6	5	6	7	0
7	4	2	3	0
6	4	7	7	0
8	3	2	7	1
26	4	2	4	0
26	4	2	4	0
26	3	6	4	0
10	4	3	7	1
25	3	3	4	0
15	5	4	6	0
9	3	6	4	1
16	2	5	3	0
2	4	6	6	0
4	4	4	5	0
26	4	3	2	0
26	3	5	5	0
26	3	5	2	0
16	3	5	3	0
26	2	7	3	0
26	5	7	4	0
26	3	6	4	0
26	3	4	5	0
26	2	3	5	0
5	4	3	3	0
20	4	6	6	0
26	2	3	7	0
8	3	3	7	1
9	3	6	4	1
10	3	6	4	1
9	3	3	7	1
8	3	6	4	1
9	3	6	4	1
10	3	6	4	1
5	4	5	3	0
4	2	2	5	0
7	5	2	3	0
6	4	6	7	0
26	4	5	2	0
26	3	4	6	0
26	5	7	4	0
26	4	2	4	0
26	3	5	5	0
26	3	6	2	0
26	3	6	7	0
26	4	3	5	0
17	3	4	2	0
16	3	5	3	0
26	4	2	4	0
26	2	6	5	0
26	4	6	4	0
2	5	7	6	0
26	3	5	6	0
26	5	5	3	0
9	5	6	4	0
26	2	4	3	0
25	3	3	4	0
8	3	3	7	1
8	3	6	5	1
26	3	6	4	0
8	3	3	7	1
9	3	6	4	1
10	3	6	4	1
18	3	6	5	0
8	3	6	7	0
9	3	3	4	1
10	3	6	4	1
18	3	6	5	0
5	3	6	5	0
18	2	3	3	0
6	4	6	7	0
7	5	2	3	0
26	4	5	2	0
26	3	4	6	0
26	5	7	4	0
26	4	2	4	0
9	3	6	4	1
8	3	3	7	1
25	4	2	4	0
7	5	3	3	0
11	5	7	4	0
21	2	3	3	0
26	2	6	5	0
26	3	6	5	0
26	4	3	4	0
26	3	6	5	0
26	4	3	7	0
10	3	6	4	1
2	3	6	6	0
26	4	5	2	0
8	3	3	7	1
9	3	6	4	1
10	3	6	4	1
9	3	3	7	1
8	3	6	4	1
10	3	6	4	1
18	3	6	5	0
4	4	3	3	0
5	2	4	5	0
7	5	2	7	0
6	4	6	3	0
26	4	5	2	0
4	3	4	5	0
26	4	2	4	0
26	5	7	4	0
24	3	6	5	0
26	4	3	7	0
25	3	7	4	0
26	5	3	4	0
9	5	2	4	0
7	3	6	3	0
17	3	4	2	0
18	3	6	5	0
26	3	6	4	0
26	4	3	5	0
26	3	5	2	0
26	4	2	4	0
26	5	5	2	0
26	3	4	3	0


