x (miles),y (miles)
0,0
0.777145961,0.629320391
1.554291923,1.258640782
2.331437884,1.887961173
3.108583846,2.517281564
3.885729807,3.146601955
4.662875769,3.775922346
5.44002173,4.405242737
6.080798842,3.950021408
6.721575955,3.494800079
7.362353067,3.03957875
8.003130179,2.584357421
8.643907291,2.129136092
9.284684404,1.673914763
9.925461516,1.218693434
5.596432272,4.783518427
5.752842814,5.161794117
5.909253355,5.540069806
6.065663897,5.918345496
6.222074439,6.296621186
6.378484981,6.674896876
6.534895522,7.053172565
6.691306064,7.431448255
