x (miles),y (miles)
4.96,10.87
3.44,8.63
4.11,6.57
1.52,6.84
2.64,6.44
3.4,7.15
5.05,5.86
10.55,0.45
11,1.25
11.18,0.76
9.17,2.15
7.65,3.44
6.57,4.61
5.9,5.54
0.85,8.09
2.55,7.82
