,X,Y
0,0.85,8.09
1,1.52,6.84
2,2.64,6.44
3,3.4,7.15
4,2.55,7.82
5,3.44,8.63
6,4.96,10.87
7,4.11,6.57
8,5.05,5.86
9,5.9,5.54
10,6.57,4.61
11,7.65,3.44
12,9.17,2.15
13,11,1.25
14,11.18,0.76
15,10.55,0.45
