x (miles),y (miles)
4.96,10.87
3.44,8.63
2.55,7.82
3.4,7.15
4.11,6.57
5.05,5.86
5.9,5.54
6.57,4.61
7.65,3.44
9.17,2.15
11,1.25
11.18,0.76
10.55,0.45
