27	4	5	6	1
13	2	6	3	1
24	4	5	3	1
5	3	3	6	1
26	2	5	6	1
13	4	6	3	1
25	3	5	3	1
4	4	3	6	1
26	2	3	7	1
26	3	5	3	1
15	3	4	2	1
18	4	7	5	1
9	2	6	3	1
13	3	6	3	1
5	3	3	6	1
3	4	2	5	0
21	5	4	3	0
26	3	6	4	1
26	5	7	5	1
26	5	5	4	1
26	2	3	5	1
11	3	5	7	0
26	5	2	6	1
26	2	5	5	1
26	2	3	6	1
11	4	3	5	0
26	3	5	7	1
26	3	6	6	1
26	3	5	4	1
9	4	6	3	1
26	3	7	5	1
15	2	3	5	1
26	2	7	4	1
26	4	3	3	1
24	5	5	3	1
26	4	5	5	1
26	4	2	5	1
26	5	6	4	1
18	4	7	5	1
26	2	3	7	1
28	4	5	6	1
15	3	4	2	1
18	2	3	5	1
26	4	7	7	1
26	3	5	6	1
12	4	4	2	0
26	2	3	7	1
13	2	6	3	1
24	5	5	3	1
24	5	5	3	1
18	2	3	5	1
26	2	3	7	1
28	4	5	6	1
15	3	4	2	1
18	2	3	5	1
26	2	3	7	1
15	4	5	6	1
26	3	4	2	1
26	2	3	7	1
13	2	6	3	1
24	5	5	3	1
24	5	5	3	1
