,X,Y
0,0.6,8.07
1,1.2,6.82
2,2.44,6.46
3,3.8,6.71
4,3.79,6.71
5,3.1,7.24
6,2.43,7.91
7,3.01,8.87
8,4.29,11.21
9,5.37,6.07
10,6.09,5.64
11,6.43,4.86
12,7.62,3.69
13,9.13,2.5
14,10.28,1.28
15,10.75,1.79
16,10.54,0.9
